ecotype_size,npop,omega,gene_numebr
6,4,0.00094,7
5,3,0.00013,7
6,4,0.00083,7
5,3,0.00084,7
6,4,0.00000,7
6,4,0.00017,7
5,3,0.00030,7
9,5,0.00037,7
6,4,0.00054,7
6,4,0.00095,7
9,5,0.00000,7
5,3,0.00081,7
6,4,0.00088,7
9,5,0.00000,7
9,5,0.00100,7
5,3,0.00092,7
6,4,0.00661,7
5,3,0.00107,7
6,4,0.00026,7
6,4,0.00048,7
5,3,0.00027,7
5,3,0.00072,7
6,4,0.00041,7
5,3,0.00060,7
5,3,0.00327,7
5,3,0.00047,7
6,4,0.00642,7
6,4,0.00571,7
6,4,0.00040,7
9,5,0.00000,7
9,5,0.00082,7
6,4,0.00035,7
9,5,0.00000,7
6,4,0.00000,7
5,3,0.00086,7
5,3,0.00035,7
5,3,0.00053,7
9,5,0.00035,7
6,4,0.00484,7
9,5,0.00033,7
6,4,0.00098,7
6,4,0.00097,7
5,3,0.00045,7
6,4,0.00085,7
6,4,0.00550,7
5,3,0.00070,7
5,3,0.00336,7
6,4,0.00027,7
9,5,0.00000,7
5,3,0.00025,7
5,3,0.00071,7
9,5,0.00000,7
5,3,0.00087,7
5,3,0.00078,7
5,3,0.00052,7
6,4,0.00037,7
5,3,0.00037,7
9,5,0.01060,7
9,5,0.00000,7
9,5,0.00000,7
6,4,0.00084,7
9,5,0.00000,7
9,5,0.00035,7
5,3,0.00083,7
5,3,0.00050,7
6,4,0.00079,7
5,3,0.00078,7
6,4,0.00697,7
12,6,0.00000,7
6,4,0.00575,7
6,4,0.05232,7
5,3,0.00052,7
